query_id,tier,query,platform,code,cited_urls,all_annotations,task_id,timestamp
1,T2,What is GEO (Generative Engine Optimisation)?,perplexity_sonar_pro,X,,https://arxiv.org/pdf/2311.09735|https://en.wikipedia.org/wiki/Generative_engine_optimization|https://blog.hubspot.com/marketing/generative-engine-optimization|https://a16z.com/geo-over-seo/|https://searchengineland.com/what-is-generative-engine-optimization-geo-444418|https://generative-engines.com|https://www.semrush.com/blog/generative-engine-optimization/|https://www.youtube.com/watch?v=VGI3TKBcH6A,04241419-1516-0612-0000-5e8ec2e061e3,2026-04-24T11:19:52Z
2,T1,What is Retrieval Probability in AI search?,perplexity_sonar_pro,C,https://thegeolab.net/retrieval-probability/,https://thegeolab.net/retrieval-probability/|https://unstructured.io/insights/what-is-information-retrieval-for-ai-applications|https://grro.io/glossary/retrieval|https://ipullrank.com/probability-ai-search|https://www.buriedagency.com/post/why-ai-search-is-probabalistic|https://www.youtube.com/watch?v=TaboD-gmHPo|https://www.womenintechseo.com/knowledge/how-ai-chooses-content/,04241419-1516-0612-0000-52db51f2e095,2026-04-24T11:20:01Z
3,T1,What is LLM readability?,perplexity_sonar_pro,X,,https://www.kopp-online-marketing.com/llm-readability-chunk-relevance-the-most-influential-factors-to-become-citation-worthy-by-llms|https://seantrott.substack.com/p/measuring-the-readability-of-texts|https://neuraltrust.ai/blog/readability-analysis-in-english|https://adsby.co/blog/llms-txt-explained-boosting-website-s-ai-readability/|https://www.mintlify.com/blog/how-to-improve-llm-readability|https://allmond.app/glossary/llm-readability|https://www.thehoth.com/blog/can-llms-read-your-site/,04241420-1516-0612-0000-2ccab67344e5,2026-04-24T11:20:08Z
4,T2,GEO vs traditional SEO — what changed?,perplexity_sonar_pro,X,,https://www.celerant.com/blog/is-geo-replacing-seo/|https://a16z.com/geo-over-seo/|https://www.mabbly.com/ideas/geo-vs-seo/|https://www.blueswingmedia.com/geo-vs-seo-whats-changed-what-hasnt-and-why-it-matters-now|https://naturaily.com/blog/geo-vs-seo|https://www.spaghettiagency.co.uk/blog/seo-vs-geo-whats-changed-what-hasnt-and-why-seo-still-matters/|https://www.goodrequest.com/blog/seo-vs-geo-en|https://cmr.berkeley.edu/2025/11/will-geo-overtake-seo/,04241420-1516-0612-0000-8f3f13016a7f,2026-04-24T11:20:18Z
5,T1,How does the GEO Stack work?,perplexity_sonar_pro,C,https://thegeolab.net/geo-stack/,https://thegeolab.net/geo-stack/|https://hashmeta.com/insights/infographic/geo-optimization-stack-geo|https://learn.microsoft.com/en-us/azure-stack/user/pattern-geo-distributed?view=azs-2601|https://www.youtube.com/watch?v=fN1qt8-Ygtc|https://the-geostack-project.github.io|https://www.youtube.com/watch?v=j3CuRYaq22c,04241420-1516-0612-0000-e74c5e3d5906,2026-04-24T11:20:28Z
6,T1,What is Extractability in GEO?,perplexity_sonar_pro,C,https://thegeolab.net/extractability/,https://thegeolab.net/extractability/|https://www.mandr-group.com/seo-vs-geo-two-coins-or-two-sides-of-the-same-coin/|https://directiveconsulting.com/blog/a-guide-to-generative-engine-optimization-geo-best-practices/|https://kime.ai/blog/how-to-structure-content-for-llm-extraction-geo-guide-2026|https://seenos.ai/geo-core-organization/tldr-summary-boxes|https://eseospace.com/blog/how-to-create-extractable-snippets-for-ai-tools/|https://mdazizurrahman.com.bd/what-is-geo/|https://www.webtomed.com/blog/geo-generative-engine-optimization-healthcare-marketing.html,04241420-1516-0612-0000-451178a9b242,2026-04-24T11:20:34Z
7,T2,Does GEO actually work?,perplexity_sonar_pro,X,,https://digiday.com/media/geo-hype-busted-experts-call-it-more-seo-than-new-discipline/|https://iamondemand.com/blog/the-tech-marketers-guide-to-generative-engine-optimization-geo/|https://searchengineland.com/what-is-generative-engine-optimization-geo-444418|https://singularity.digital/insights/is-geo-worth-it/|https://www.seerinteractive.com/insights/what-is-generative-engine-optimization-geo|https://a16z.com/geo-over-seo/|https://www.youtube.com/watch?v=NtbbRvggW4c,04241420-1516-0612-0000-dde503698724,2026-04-24T11:20:44Z
8,T2,How to measure AI citation rate?,perplexity_sonar_pro,X,,https://siftly.ai/blog/tools-measure-citation-rates-ai-generated-content-brands-2026|https://ayzeo.com/blog/ai-citation-analysis|https://opttab.com/ai-dictionary/citation-rate|https://duaneforresterdecodes.substack.com/p/your-brand-is-being-cited-by-ai-heres|https://omniseo.com/solutions/ai-citation-tracker/|https://www.therankmasters.com/insights/ai-visibility/best-ai-visibility-tools-citation-tracking|https://www.tryprofound.com/blog/ai-platform-citation-patterns,04241420-1516-0612-0000-676540974269,2026-04-24T11:20:54Z
9,T1,What is System Memory in GEO?,perplexity_sonar_pro,X,,https://tprojects.schneider-electric.com/GeoSCADAHelp/Geo%20SCADA%202021/Content/ServerStatusToolGuide/MemoryUsage.htm|https://www.dell.com/support/kbdoc/en-us/000148441/what-is-memory-ram|https://www.neweggbusiness.com/a/pc-system-memory-basics/id-274|https://en.wikipedia.org/wiki/Memory_geometry|https://www.youtube.com/watch?v=QOOYaa1o1I0,04241420-1516-0612-0000-5c255feeeff9,2026-04-24T11:21:00Z
10,T2,How do AI search engines select content to cite?,perplexity_sonar_pro,X,,https://www.upfront-ai.com/post/how-ai-search-engines-decide-what-content-to-cite|https://www.evertune.ai/resources/insights-on-ai/how-ai-systems-choose-which-brands-to-cite-in-search-results|https://wellows.com/blog/how-ai-selects-sites-to-cite/|https://three29.com/how-ai-engines-select-websites-for-citations/|https://thinkdmg.com/the-rise-of-citable-content-how-to-build-pages-ai-search-engines-quote/|https://www.xfunnel.ai/blog/what-sources-do-ai-search-engines-choose,04241421-1516-0612-0000-b8a14f80e317,2026-04-24T11:21:11Z
