query_id,tier,query,platform,iteration,code,cited_urls,all_annotations,task_id,timestamp
1,T2,What is GEO (Generative Engine Optimisation)?,perplexity_sonar_pro,1,X,,https://arxiv.org/pdf/2311.09735|https://en.wikipedia.org/wiki/Generative_engine_optimization|https://blog.hubspot.com/marketing/generative-engine-optimization|https://a16z.com/geo-over-seo/|https://searchengineland.com/what-is-generative-engine-optimization-geo-444418|https://generative-engines.com|https://www.semrush.com/blog/generative-engine-optimization/|https://www.youtube.com/watch?v=VGI3TKBcH6A,04241419-1516-0612-0000-5e8ec2e061e3,2026-04-24T11:19:52Z
1,T2,What is GEO (Generative Engine Optimisation)?,chatgpt_gpt4o_search_preview,1,X,,,04241423-1516-0629-0000-4d97fefe2bbf,2026-04-24T11:24:06Z
2,T1,What is Retrieval Probability in AI search?,perplexity_sonar_pro,1,C,https://thegeolab.net/retrieval-probability/,https://thegeolab.net/retrieval-probability/|https://unstructured.io/insights/what-is-information-retrieval-for-ai-applications|https://grro.io/glossary/retrieval|https://ipullrank.com/probability-ai-search|https://www.buriedagency.com/post/why-ai-search-is-probabalistic|https://www.youtube.com/watch?v=TaboD-gmHPo|https://www.womenintechseo.com/knowledge/how-ai-chooses-content/,04241419-1516-0612-0000-52db51f2e095,2026-04-24T11:20:01Z
2,T1,What is Retrieval Probability in AI search?,chatgpt_gpt4o_search_preview,1,X,,,04241424-1516-0629-0000-4cd30b000044,2026-04-24T11:24:48Z
3,T1,What is LLM readability?,perplexity_sonar_pro,1,X,,https://www.kopp-online-marketing.com/llm-readability-chunk-relevance-the-most-influential-factors-to-become-citation-worthy-by-llms|https://seantrott.substack.com/p/measuring-the-readability-of-texts|https://neuraltrust.ai/blog/readability-analysis-in-english|https://adsby.co/blog/llms-txt-explained-boosting-website-s-ai-readability/|https://www.mintlify.com/blog/how-to-improve-llm-readability|https://allmond.app/glossary/llm-readability|https://www.thehoth.com/blog/can-llms-read-your-site/,04241420-1516-0612-0000-2ccab67344e5,2026-04-24T11:20:08Z
3,T1,What is LLM readability?,chatgpt_gpt4o_search_preview,1,X,,,04241424-1516-0629-0000-31fd796071a1,2026-04-24T11:25:08Z
4,T2,GEO vs traditional SEO — what changed?,perplexity_sonar_pro,1,X,,https://www.celerant.com/blog/is-geo-replacing-seo/|https://a16z.com/geo-over-seo/|https://www.mabbly.com/ideas/geo-vs-seo/|https://www.blueswingmedia.com/geo-vs-seo-whats-changed-what-hasnt-and-why-it-matters-now|https://naturaily.com/blog/geo-vs-seo|https://www.spaghettiagency.co.uk/blog/seo-vs-geo-whats-changed-what-hasnt-and-why-seo-still-matters/|https://www.goodrequest.com/blog/seo-vs-geo-en|https://cmr.berkeley.edu/2025/11/will-geo-overtake-seo/,04241420-1516-0612-0000-8f3f13016a7f,2026-04-24T11:20:18Z
4,T2,GEO vs traditional SEO — what changed?,chatgpt_gpt4o_search_preview,1,X,,,04241425-1516-0629-0000-a5f0333f3db2,2026-04-24T11:25:26Z
5,T1,How does the GEO Stack work?,perplexity_sonar_pro,1,C,https://thegeolab.net/geo-stack/,https://thegeolab.net/geo-stack/|https://hashmeta.com/insights/infographic/geo-optimization-stack-geo|https://learn.microsoft.com/en-us/azure-stack/user/pattern-geo-distributed?view=azs-2601|https://www.youtube.com/watch?v=fN1qt8-Ygtc|https://the-geostack-project.github.io|https://www.youtube.com/watch?v=j3CuRYaq22c,04241420-1516-0612-0000-e74c5e3d5906,2026-04-24T11:20:28Z
5,T1,How does the GEO Stack work?,chatgpt_gpt4o_search_preview,1,X,,,04241425-1516-0629-0000-a20d3459020f,2026-04-24T11:25:51Z
6,T1,What is Extractability in GEO?,perplexity_sonar_pro,1,C,https://thegeolab.net/extractability/,https://thegeolab.net/extractability/|https://www.mandr-group.com/seo-vs-geo-two-coins-or-two-sides-of-the-same-coin/|https://directiveconsulting.com/blog/a-guide-to-generative-engine-optimization-geo-best-practices/|https://kime.ai/blog/how-to-structure-content-for-llm-extraction-geo-guide-2026|https://seenos.ai/geo-core-organization/tldr-summary-boxes|https://eseospace.com/blog/how-to-create-extractable-snippets-for-ai-tools/|https://mdazizurrahman.com.bd/what-is-geo/|https://www.webtomed.com/blog/geo-generative-engine-optimization-healthcare-marketing.html,04241420-1516-0612-0000-451178a9b242,2026-04-24T11:20:34Z
6,T1,What is Extractability in GEO?,chatgpt_gpt4o_search_preview,1,X,,,04241425-1516-0629-0000-dd05929fb41f,2026-04-24T11:26:31Z
7,T2,Does GEO actually work?,perplexity_sonar_pro,1,X,,https://digiday.com/media/geo-hype-busted-experts-call-it-more-seo-than-new-discipline/|https://iamondemand.com/blog/the-tech-marketers-guide-to-generative-engine-optimization-geo/|https://searchengineland.com/what-is-generative-engine-optimization-geo-444418|https://singularity.digital/insights/is-geo-worth-it/|https://www.seerinteractive.com/insights/what-is-generative-engine-optimization-geo|https://a16z.com/geo-over-seo/|https://www.youtube.com/watch?v=NtbbRvggW4c,04241420-1516-0612-0000-dde503698724,2026-04-24T11:20:44Z
7,T2,Does GEO actually work?,chatgpt_gpt4o_search_preview,1,X,,,04241426-1516-0629-0000-9544be19b8c2,2026-04-24T11:26:49Z
8,T2,How to measure AI citation rate?,perplexity_sonar_pro,1,X,,https://siftly.ai/blog/tools-measure-citation-rates-ai-generated-content-brands-2026|https://ayzeo.com/blog/ai-citation-analysis|https://opttab.com/ai-dictionary/citation-rate|https://duaneforresterdecodes.substack.com/p/your-brand-is-being-cited-by-ai-heres|https://omniseo.com/solutions/ai-citation-tracker/|https://www.therankmasters.com/insights/ai-visibility/best-ai-visibility-tools-citation-tracking|https://www.tryprofound.com/blog/ai-platform-citation-patterns,04241420-1516-0612-0000-676540974269,2026-04-24T11:20:54Z
8,T2,How to measure AI citation rate?,chatgpt_gpt4o_search_preview,1,X,,,04241426-1516-0629-0000-8258e0d5e1ac,2026-04-24T11:27:12Z
9,T1,What is System Memory in GEO?,perplexity_sonar_pro,1,X,,https://tprojects.schneider-electric.com/GeoSCADAHelp/Geo%20SCADA%202021/Content/ServerStatusToolGuide/MemoryUsage.htm|https://www.dell.com/support/kbdoc/en-us/000148441/what-is-memory-ram|https://www.neweggbusiness.com/a/pc-system-memory-basics/id-274|https://en.wikipedia.org/wiki/Memory_geometry|https://www.youtube.com/watch?v=QOOYaa1o1I0,04241420-1516-0612-0000-5c255feeeff9,2026-04-24T11:21:00Z
9,T1,What is System Memory in GEO?,chatgpt_gpt4o_search_preview,1,X,,,04241427-1516-0629-0000-ab76b749e9d0,2026-04-24T11:27:24Z
10,T2,How do AI search engines select content to cite?,perplexity_sonar_pro,1,X,,https://www.upfront-ai.com/post/how-ai-search-engines-decide-what-content-to-cite|https://www.evertune.ai/resources/insights-on-ai/how-ai-systems-choose-which-brands-to-cite-in-search-results|https://wellows.com/blog/how-ai-selects-sites-to-cite/|https://three29.com/how-ai-engines-select-websites-for-citations/|https://thinkdmg.com/the-rise-of-citable-content-how-to-build-pages-ai-search-engines-quote/|https://www.xfunnel.ai/blog/what-sources-do-ai-search-engines-choose,04241421-1516-0612-0000-b8a14f80e317,2026-04-24T11:21:11Z
10,T2,How do AI search engines select content to cite?,chatgpt_gpt4o_search_preview,1,X,,,04241427-1516-0629-0000-7ddc5438c932,2026-04-24T11:27:45Z
1,T2,What is GEO (Generative Engine Optimisation)?,perplexity_sonar_pro,2,X,,https://arxiv.org/pdf/2311.09735|https://en.wikipedia.org/wiki/Generative_engine_optimization|https://blog.hubspot.com/marketing/generative-engine-optimization|https://a16z.com/geo-over-seo/|https://searchengineland.com/what-is-generative-engine-optimization-geo-444418|https://generative-engines.com|https://www.semrush.com/blog/generative-engine-optimization/,04241421-1516-0612-0000-6e85ea06388d,2026-04-24T11:21:23Z
1,T2,What is GEO (Generative Engine Optimisation)?,chatgpt_gpt4o_search_preview,2,X,,,04241427-1516-0629-0000-d1c6ea50dc8f,2026-04-24T11:28:04Z
2,T1,What is Retrieval Probability in AI search?,perplexity_sonar_pro,2,C,https://thegeolab.net/retrieval-probability/,https://thegeolab.net/retrieval-probability/|https://www.useomnia.com/knowledge-base/%20ai-retrieval-layer|https://unstructured.io/insights/what-is-information-retrieval-for-ai-applications|https://ipullrank.com/probability-ai-search|https://grro.io/glossary/retrieval|https://www.splunk.com/en_us/blog/learn/information-retrieval.html|https://www.buriedagency.com/post/why-ai-search-is-probabalistic|https://www.youtube.com/watch?v=TaboD-gmHPo,04241421-1516-0612-0000-ce80cd2254a9,2026-04-24T11:21:30Z
2,T1,What is Retrieval Probability in AI search?,chatgpt_gpt4o_search_preview,2,X,,,04241428-1516-0629-0000-1263ac95a0f4,2026-04-24T11:28:16Z
3,T1,What is LLM readability?,perplexity_sonar_pro,2,X,,https://www.kopp-online-marketing.com/llm-readability-chunk-relevance-the-most-influential-factors-to-become-citation-worthy-by-llms|https://seantrott.substack.com/p/measuring-the-readability-of-texts|https://neuraltrust.ai/blog/readability-analysis-in-english|https://adsby.co/blog/llms-txt-explained-boosting-website-s-ai-readability/|https://www.mintlify.com/blog/how-to-improve-llm-readability|https://allmond.app/glossary/llm-readability|https://www.thehoth.com/blog/can-llms-read-your-site/,04241421-1516-0612-0000-ee18b99adfa5,2026-04-24T11:21:36Z
3,T1,What is LLM readability?,chatgpt_gpt4o_search_preview,2,X,,,04241428-1516-0629-0000-344c7a7c01b5,2026-04-24T11:28:34Z
4,T2,GEO vs traditional SEO — what changed?,perplexity_sonar_pro,2,X,,https://www.celerant.com/blog/is-geo-replacing-seo/|https://a16z.com/geo-over-seo/|https://www.mabbly.com/ideas/geo-vs-seo/|https://www.aimpakt.com/blog/geo-vs-seo-whats-changed-and-why-it-matters/|https://www.blueswingmedia.com/geo-vs-seo-whats-changed-what-hasnt-and-why-it-matters-now|https://naturaily.com/blog/geo-vs-seo|https://www.spaghettiagency.co.uk/blog/seo-vs-geo-whats-changed-what-hasnt-and-why-seo-still-matters/|https://www.goodrequest.com/blog/seo-vs-geo-en,04241421-1516-0612-0000-1f66fb10d626,2026-04-24T11:21:45Z
4,T2,GEO vs traditional SEO — what changed?,chatgpt_gpt4o_search_preview,2,X,,,04241428-1516-0629-0000-9052aae21ba8,2026-04-24T11:28:49Z
5,T1,How does the GEO Stack work?,perplexity_sonar_pro,2,C,https://thegeolab.net/geo-stack/,https://thegeolab.net/geo-stack/|https://www.geometrics.com/community/geode-software/stacking-technical-note/|https://eseospace.com/geo-stack-i-teach-my-clients/|https://hashmeta.com/insights/infographic/geo-optimization-stack-geo|https://www.youtube.com/watch?v=fN1qt8-Ygtc|https://gamefaqs.gamespot.com/boards/995078-disgaea-4-a-promise-unforgotten/60335007?page=1|https://the-geostack-project.github.io,04241421-1516-0612-0000-988ae155a939,2026-04-24T11:21:53Z
5,T1,How does the GEO Stack work?,chatgpt_gpt4o_search_preview,2,X,,,04241428-1516-0629-0000-cfb3d96958f0,2026-04-24T11:29:06Z
6,T1,What is Extractability in GEO?,perplexity_sonar_pro,2,C,https://thegeolab.net/extractability/,https://thegeolab.net/extractability/|https://www.mandr-group.com/seo-vs-geo-two-coins-or-two-sides-of-the-same-coin/|https://directiveconsulting.com/blog/a-guide-to-generative-engine-optimization-geo-best-practices/|https://kime.ai/blog/how-to-structure-content-for-llm-extraction-geo-guide-2026|https://seenos.ai/geo-core-organization/tldr-summary-boxes|https://guptadeepak.com/the-complete-guide-to-generative-engine-optimization-what-b2b-saas-companies-need-to-know-in-2026/|https://eseospace.com/blog/how-to-create-extractable-snippets-for-ai-tools/|https://mdazizurrahman.com.bd/what-is-geo/|https://www.webtomed.com/blog/geo-generative-engine-optimization-healthcare-marketing.html,04241421-1516-0612-0000-496fdfd2260c,2026-04-24T11:22:00Z
6,T1,What is Extractability in GEO?,chatgpt_gpt4o_search_preview,2,X,,,04241429-1516-0629-0000-f66eead0625d,2026-04-24T11:29:20Z
7,T2,Does GEO actually work?,perplexity_sonar_pro,2,X,,https://digiday.com/media/geo-hype-busted-experts-call-it-more-seo-than-new-discipline/|https://iamondemand.com/blog/the-tech-marketers-guide-to-generative-engine-optimization-geo/|https://searchengineland.com/what-is-generative-engine-optimization-geo-444418|https://singularity.digital/insights/is-geo-worth-it/|https://www.seerinteractive.com/insights/what-is-generative-engine-optimization-geo|https://a16z.com/geo-over-seo/|https://www.youtube.com/watch?v=NtbbRvggW4c,04241422-1516-0612-0000-541d1d24d8f1,2026-04-24T11:22:10Z
7,T2,Does GEO actually work?,chatgpt_gpt4o_search_preview,2,X,,,04241429-1516-0629-0000-131c32ce2621,2026-04-24T11:29:37Z
8,T2,How to measure AI citation rate?,perplexity_sonar_pro,2,X,,https://siftly.ai/blog/tools-measure-citation-rates-ai-generated-content-brands-2026|https://opttab.com/ai-dictionary/citation-rate|https://duaneforresterdecodes.substack.com/p/your-brand-is-being-cited-by-ai-heres|https://ayzeo.com/features/citation-analytics|https://omniseo.com/solutions/ai-citation-tracker/|https://www.tryprofound.com/blog/ai-platform-citation-patterns|https://www.therankmasters.com/insights/ai-visibility/best-ai-visibility-tools-citation-tracking,04241422-1516-0612-0000-b8d334a804e7,2026-04-24T11:22:22Z
8,T2,How to measure AI citation rate?,chatgpt_gpt4o_search_preview,2,X,,,04241429-1516-0629-0000-44556c33e10e,2026-04-24T11:29:53Z
9,T1,What is System Memory in GEO?,perplexity_sonar_pro,2,X,,https://tprojects.schneider-electric.com/GeoSCADAHelp/Geo%20SCADA%202021/Content/ServerStatusToolGuide/MemoryUsage.htm|https://www.dell.com/support/kbdoc/en-us/000148441/what-is-memory-ram|https://www.neweggbusiness.com/a/pc-system-memory-basics/id-274|https://en.wikipedia.org/wiki/Memory_geometry|https://www.youtube.com/watch?v=QOOYaa1o1I0,04241422-1516-0612-0000-4a9d1ac677ff,2026-04-24T11:22:27Z
9,T1,What is System Memory in GEO?,chatgpt_gpt4o_search_preview,2,X,,,04241429-1516-0629-0000-e477d6ef51f6,2026-04-24T11:30:11Z
10,T2,How do AI search engines select content to cite?,perplexity_sonar_pro,2,X,,https://www.neptuneweb.com/blog/how-ai-search-engines-decide-what-to-cite-and-why-its-changing-search|https://www.upfront-ai.com/post/how-ai-search-engines-decide-what-content-to-cite|https://thinkdmg.com/the-rise-of-citable-content-how-to-build-pages-ai-search-engines-quote/|https://cxl.com/blog/cited-source-in-ai-search/|https://wpvip.com/blog/ai-visibility-how-search-tools-cite-content/|https://www.xfunnel.ai/blog/what-sources-do-ai-search-engines-choose,04241422-1516-0612-0000-e6042a7ee523,2026-04-24T11:22:35Z
10,T2,How do AI search engines select content to cite?,chatgpt_gpt4o_search_preview,2,X,,,04241430-1516-0629-0000-06ec5deb8fe1,2026-04-24T11:30:23Z
1,T2,What is GEO (Generative Engine Optimisation)?,perplexity_sonar_pro,3,X,,https://arxiv.org/pdf/2311.09735|https://en.wikipedia.org/wiki/Generative_engine_optimization|https://blog.hubspot.com/marketing/generative-engine-optimization|https://a16z.com/geo-over-seo/|https://searchengineland.com/what-is-generative-engine-optimization-geo-444418|https://generative-engines.com|https://www.semrush.com/blog/generative-engine-optimization/,04241422-1516-0612-0000-f5a29b0a1f03,2026-04-24T11:22:44Z
1,T2,What is GEO (Generative Engine Optimisation)?,chatgpt_gpt4o_search_preview,3,X,,,04241430-1516-0629-0000-1884e6249046,2026-04-24T11:30:42Z
2,T1,What is Retrieval Probability in AI search?,perplexity_sonar_pro,3,C,https://thegeolab.net/retrieval-probability/,https://thegeolab.net/retrieval-probability/|https://grro.io/glossary/retrieval|https://unstructured.io/insights/what-is-information-retrieval-for-ai-applications|https://ipullrank.com/probability-ai-search|https://www.splunk.com/en_us/blog/learn/information-retrieval.html|https://www.buriedagency.com/post/why-ai-search-is-probabalistic|https://www.youtube.com/watch?v=TaboD-gmHPo|https://www.womenintechseo.com/knowledge/how-ai-chooses-content/,04241422-1516-0612-0000-8173fb10d8db,2026-04-24T11:22:50Z
2,T1,What is Retrieval Probability in AI search?,chatgpt_gpt4o_search_preview,3,X,,,04241430-1516-0629-0000-50aa27edaa3f,2026-04-24T11:30:58Z
3,T1,What is LLM readability?,perplexity_sonar_pro,3,X,,https://www.kopp-online-marketing.com/llm-readability-chunk-relevance-the-most-influential-factors-to-become-citation-worthy-by-llms|https://seantrott.substack.com/p/measuring-the-readability-of-texts|https://neuraltrust.ai/blog/readability-analysis-in-english|https://adsby.co/blog/llms-txt-explained-boosting-website-s-ai-readability/|https://www.mintlify.com/blog/how-to-improve-llm-readability|https://allmond.app/glossary/llm-readability|https://www.thehoth.com/blog/can-llms-read-your-site/,04241422-1516-0612-0000-553714909e0b,2026-04-24T11:22:56Z
3,T1,What is LLM readability?,chatgpt_gpt4o_search_preview,3,X,,,04241431-1516-0629-0000-0b20521d21b4,2026-04-24T11:31:15Z
4,T2,GEO vs traditional SEO — what changed?,perplexity_sonar_pro,3,X,,https://www.celerant.com/blog/is-geo-replacing-seo/|https://a16z.com/geo-over-seo/|https://www.wearetg.com/blog/geo-vs-seo/|https://www.mabbly.com/ideas/geo-vs-seo/|https://www.blueswingmedia.com/geo-vs-seo-whats-changed-what-hasnt-and-why-it-matters-now|https://www.spaghettiagency.co.uk/blog/seo-vs-geo-whats-changed-what-hasnt-and-why-seo-still-matters/|https://naturaily.com/blog/geo-vs-seo|https://cmr.berkeley.edu/2025/11/will-geo-overtake-seo/,04241422-1516-0612-0000-d8b76fc5deef,2026-04-24T11:23:06Z
4,T2,GEO vs traditional SEO — what changed?,chatgpt_gpt4o_search_preview,3,X,,,04241431-1516-0629-0000-8fecbde77a72,2026-04-24T11:31:30Z
5,T1,How does the GEO Stack work?,perplexity_sonar_pro,3,C,https://thegeolab.net/geo-stack/,https://thegeolab.net/geo-stack/|https://www.geometrics.com/community/geode-software/stacking-technical-note/|https://hashmeta.com/insights/infographic/geo-optimization-stack-geo|https://learn.microsoft.com/en-us/azure-stack/user/pattern-geo-distributed?view=azs-2601|https://www.youtube.com/watch?v=fN1qt8-Ygtc|https://the-geostack-project.github.io|https://www.youtube.com/watch?v=Dc2Mt0AK-qA,04241423-1516-0612-0000-146711b3795d,2026-04-24T11:23:15Z
5,T1,How does the GEO Stack work?,chatgpt_gpt4o_search_preview,3,X,,,04241431-1516-0629-0000-f29005b79d10,2026-04-24T11:31:44Z
6,T1,What is Extractability in GEO?,perplexity_sonar_pro,3,C,https://thegeolab.net/extractability/,https://thegeolab.net/extractability/|https://www.mandr-group.com/seo-vs-geo-two-coins-or-two-sides-of-the-same-coin/|https://directiveconsulting.com/blog/a-guide-to-generative-engine-optimization-geo-best-practices/|https://kime.ai/blog/how-to-structure-content-for-llm-extraction-geo-guide-2026|https://seenos.ai/geo-core-organization/tldr-summary-boxes|https://guptadeepak.com/the-complete-guide-to-generative-engine-optimization-what-b2b-saas-companies-need-to-know-in-2026/|https://eseospace.com/blog/how-to-create-extractable-snippets-for-ai-tools/|https://mdazizurrahman.com.bd/what-is-geo/|https://www.webtomed.com/blog/geo-generative-engine-optimization-healthcare-marketing.html,04241423-1516-0612-0000-e3d589182bbb,2026-04-24T11:23:22Z
6,T1,What is Extractability in GEO?,chatgpt_gpt4o_search_preview,3,X,,,04241431-1516-0629-0000-5879ff7e0112,2026-04-24T11:31:56Z
7,T2,Does GEO actually work?,perplexity_sonar_pro,3,X,,https://digiday.com/media/geo-hype-busted-experts-call-it-more-seo-than-new-discipline/|https://iamondemand.com/blog/the-tech-marketers-guide-to-generative-engine-optimization-geo/|https://searchengineland.com/what-is-generative-engine-optimization-geo-444418|https://singularity.digital/insights/is-geo-worth-it/|https://www.seerinteractive.com/insights/what-is-generative-engine-optimization-geo|https://a16z.com/geo-over-seo/|https://www.youtube.com/watch?v=rXbFNCMKl34,04241423-1516-0612-0000-69b22e032d1f,2026-04-24T11:23:32Z
7,T2,Does GEO actually work?,chatgpt_gpt4o_search_preview,3,X,,,04241431-1516-0629-0000-6c97e5dc44cd,2026-04-24T11:32:30Z
8,T2,How to measure AI citation rate?,perplexity_sonar_pro,3,X,,https://siftly.ai/blog/tools-measure-citation-rates-ai-generated-content-brands-2026|https://opttab.com/ai-dictionary/citation-rate|https://duaneforresterdecodes.substack.com/p/your-brand-is-being-cited-by-ai-heres|https://ayzeo.com/features/citation-analytics|https://omniseo.com/solutions/ai-citation-tracker/|https://www.tryprofound.com/blog/ai-platform-citation-patterns|https://www.therankmasters.com/insights/ai-visibility/best-ai-visibility-tools-citation-tracking,04241423-1516-0612-0000-133263739e48,2026-04-24T11:23:40Z
8,T2,How to measure AI citation rate?,chatgpt_gpt4o_search_preview,3,X,,,04241432-1516-0629-0000-ecabf7163165,2026-04-24T11:32:49Z
9,T1,What is System Memory in GEO?,perplexity_sonar_pro,3,X,,https://tprojects.schneider-electric.com/GeoSCADAHelp/Geo%20SCADA%202021/Content/ServerStatusToolGuide/MemoryUsage.htm|https://www.dell.com/support/kbdoc/en-us/000148441/what-is-memory-ram|https://www.neweggbusiness.com/a/pc-system-memory-basics/id-274|https://en.wikipedia.org/wiki/Memory_geometry|https://www.youtube.com/watch?v=QOOYaa1o1I0,04241423-1516-0612-0000-ed4b924a2244,2026-04-24T11:23:46Z
9,T1,What is System Memory in GEO?,chatgpt_gpt4o_search_preview,3,X,,,04241432-1516-0629-0000-080f6e054dac,2026-04-24T11:33:07Z
10,T2,How do AI search engines select content to cite?,perplexity_sonar_pro,3,X,,https://www.upfront-ai.com/post/how-ai-search-engines-decide-what-content-to-cite|https://www.evertune.ai/resources/insights-on-ai/how-ai-systems-choose-which-brands-to-cite-in-search-results|https://wellows.com/blog/how-ai-selects-sites-to-cite/|https://three29.com/how-ai-engines-select-websites-for-citations/|https://thinkdmg.com/the-rise-of-citable-content-how-to-build-pages-ai-search-engines-quote/|https://www.xfunnel.ai/blog/what-sources-do-ai-search-engines-choose,04241423-1516-0612-0000-d72c7be2ac0a,2026-04-24T11:23:53Z
10,T2,How do AI search engines select content to cite?,chatgpt_gpt4o_search_preview,3,X,,,04241433-1516-0629-0000-d902e71ab528,2026-04-24T11:33:21Z
1,T2,What is GEO (Generative Engine Optimisation)?,google_aio,1,X,,,04241433-1516-0139-0000-0d7ce89bc56f,2026-04-24T11:33:24Z
